"province","drain_basin","river_section","time","quality_type","temperature","pH","oxygen","conductivity","turbidity_ntu","permanganate_index","ammonia_nitrogen","total_phosphate","total_nitrogen","chl_a","algae_density","site_state"
"云南省","西南诸河","橄榄坝",,,,,,,,,,,,,,"维护"
"陕西省","黄河流域","潼关吊桥","2020-05-24 08:08:00","Ⅱ",22.4,8.32,7.35,1041,126.8,4,0.12,0.096,"4.42",,,"正常"
"甘肃省","黄河流域","新城桥","2020-05-24 08:00:00","Ⅱ",14.1,7.49,8.33,501.8,104.4,2.21,0.11,0.028,"2.24",,,"正常"
"宁夏回族自治区","黄河流域","中卫下河沿(新墩)","2020-05-24 08:00:00",,17.4,8.33,7.75,503,107.9,1.45,,0.029,"2.13",,,"维护"
"北京市","海河流域","沿河城",,,,,,,,,,,,,,"停站"
"北京市","海河流域","古北口",,,,,,,,,,,,,,"维护"
"天津市","海河流域","三岔口","2020-05-25 08:00:00","Ⅱ",22.9,7.83,7.63,257,20.9,0.83,0.33,0.043,"1.03",,,"正常"
"天津市","海河流域","果河桥","2020-05-25 08:00:00","Ⅱ",18.3,8.48,9.32,595.1,6.8,2.27,0.09,0.044,"3.37",,,"正常"
"河北省","海河流域","岗南水库","2020-05-25 08:00:00","Ⅱ",23.2,8.25,9.01,557.2,8.6,2.06,0.08,0.022,"2.30",,,"正常"
"河北省","海河流域","八号桥","2020-05-25 08:10:00","Ⅳ",18.6,7.84,7.56,1347.5,82.9,6.05,0.22,0.066,"3.46",,,"正常"
"山西省","黄河流域","河津大桥","2020-05-25 08:00:00","Ⅴ",23.8,7.95,7.33,1355.9,354,10.15,0.09,,,,,"正常"
"山西省","黄河流域","万家寨水库","2020-05-25 08:00:00","Ⅳ",18.9,8.25,10.56,810.4,10,6.84,0.26,0.001,"1.85",,,"正常"
"内蒙古自治区","黄河流域","画匠营子","2020-05-25 08:00:00","Ⅱ",15.2,7.82,8.37,999.1,544.1,3.14,0.046,,,,,"正常"
"内蒙古自治区","黄河流域","海勃湾","2020-05-25 08:05:00","Ⅱ",19.2,8.39,6.75,785.5,37.1,3.3,0.05,,,,,"正常"
"内蒙古自治区","松花江流域","黑山头",,,,,,,,,,,,,,"维护"
"辽宁省","辽河流域","大伙房水库","2020-05-25 08:00:00",,15.5,7.2,10.09,306.6,10.8,,0.09,0.003,"2.43",0.001,,"维护"
"辽宁省","辽河流域","江桥","2020-05-25 04:00:00","Ⅳ",13.6,7.96,8.91,173,39.8,0.95,1.014,0.046,"2.28",,,"正常"
"辽宁省","辽河流域","辽河公园","2020-05-25 08:05:00","Ⅲ",18.3,6.45,7.15,1706.4,172.8,5.77,0.088,0.187,"5.65",,,"正常"
"辽宁省","辽河流域","汤河水库","2020-05-25 08:00:00",,13.9,8.11,7.15,498,26.5,1.92,0.028,,,,,"维护"
"辽宁省","辽河流域","盘锦兴安(兴安)","2020-05-25 08:00:00",,17,7.12,10.26,613,84.1,2.44,,0.086,"3.33",,,"维护"
"辽宁省","辽河流域","珠尔山","2020-05-25 08:00:00","Ⅱ",17.1,7.89,7.13,425,34.3,3.11,0.13,0.072,"3.95",,,"正常"
"吉林省","松花江流域","松花江村","2020-05-25 08:05:00","Ⅳ",16.9,7.39,9.53,299.3,21.9,9.28,0.23,0.03,"2.39",,,"正常"
"吉林省","松花江流域","白沙滩",,,,,,,,,,,,,,"停站"
"吉林省","松花江流域","圈河","2020-05-25 08:00:00","Ⅱ",14.7,7.63,11.13,120,28,3.99,0.173,0.092,"1.76",,,"正常"
"黑龙江省","松花江流域","肇源",,,,,,,,,,,,,,"停站"
"黑龙江省","松花江流域","乌苏镇",,,,,,,,,,,,,,"维护"
"黑龙江省","松花江流域","同江","2020-05-25 08:00:00",,14.8,,10.06,253.9,75,4.85,0.132,0.138,"2.61",,,"维护"
"黑龙江省","松花江流域","黑河下(黑河)","2020-05-25 08:05:00",,11.8,8.09,8.71,230.5,20.1,,0.002,,,,,"维护"
"上海市","长江流域","急水港桥","2020-05-25 08:00:00","Ⅳ",25.1,7.14,6.81,677,122.3,1.88,0.194,0.068,"3.41",0.008,7062069,"正常"
"江苏省","长江流域","林山","2020-05-25 08:00:00","Ⅱ",23.8,7.71,6.72,322.9,38.4,1.86,0.055,,,,,"正常"
"江苏省","太湖流域","沙渚","2020-05-25 08:00:00","Ⅲ",27.5,8.17,7.43,467.8,82.7,5.83,0.32,0.128,"3.04",,,"正常"
"江苏省","淮河流域","小红圈",,,,,,,,,,,,,,"停站"
"江苏省","淮河流域","李集桥","2020-05-25 08:00:00","Ⅲ",25.1,7.91,9.75,1032.5,194.9,4.48,0.005,0.095,"1.29",,,"正常"
"江苏省","淮河流域","艾山西大桥","2020-05-25 08:00:00","Ⅳ",26,8.63,12.8,634.5,10.6,7.6,0.19,0.048,"0.86",,,"正常"
"江苏省","太湖流域","兰山嘴(老)","2020-05-25 08:00:00","Ⅳ",25.3,7.14,4.96,428.6,206.9,5.47,0.27,0.251,"8.41",,,"正常"
"江苏省","太湖流域","西山","2020-05-25 08:00:00","Ⅲ",26.2,7.81,7.36,371.1,96.9,3.07,0.22,0.039,"0.84",,,"正常"
"江苏省","淮河流域","大兴桥","2020-05-25 08:00:00","Ⅲ",25.2,7.83,5.89,1175.5,71.8,5.05,0.131,,,,,"正常"
"江苏省","淮河流域","淮河大桥","2020-05-25 08:00:00",,25.1,8.22,7.09,613,61.6,3.55,,0.068,"1.89",,,"维护"
"江苏省","长江流域","三江营",,,,,,,,,,,,,,"停站"
"江苏省","淮河流域","大屈","2020-05-25 08:00:00","Ⅴ",24.3,7.81,6.24,893.6,8.7,7.04,1.51,0.011,"0.83",,,"正常"
"浙江省","浙闽片河流","街口(鸠坑口)",,,,,,,,,,,,,,"停站"
"浙江省","太湖流域","斜路港","2020-05-25 08:00:00","Ⅳ",25.4,7.41,3.88,592,182.2,5.55,0.031,0.083,"1.50",,,"正常"
"浙江省","太湖流域","王江泾",,,,,,,,,,,,,,"停站"
"浙江省","太湖流域","新港口(新塘港)","2020-05-25 08:00:00","Ⅲ",25,7.44,7.06,386.6,392.7,4.17,0.142,0.1,"20.00",,,"正常"
"安徽省","巢湖流域","湖滨(老)","2020-05-25 08:00:00","Ⅳ",27.5,8,7.81,448.5,54.5,6.6,0.2,0.042,"1.14",0.049,,"正常"
"安徽省","巢湖流域","裕溪口(老)",,,,,,,,,,,,,,"停站"
"安徽省","淮河流域","蚌埠闸上(蚌埠闸)",,,,,,,,,,,,,,"停站"
"安徽省","淮河流域","石头埠(老)","2020-05-25 08:01:00","Ⅲ",25.9,6.66,7.57,669,30.6,4.03,0.23,,,,,"正常"
"安徽省","淮河流域","小王桥",,,,,,,,,,,,,,"停站"
"安徽省","长江流域","皖河口",,,,,,,,,,,,,,"停站"
"安徽省","淮河流域","小柳巷","2020-05-25 08:00:00","Ⅱ",24.4,7.77,8.53,703.6,177.2,3.04,0.05,0.051,"2.14",,,"正常"
"安徽省","淮河流域","张大桥","2020-05-25 08:00:00","Ⅲ",25.6,8.44,7.71,2599.8,15.6,4.6,0.02,0.121,"1.11",,,"正常"
"安徽省","淮河流域","王家坝","2020-05-25 08:00:00","Ⅳ",25.6,8.13,4.97,900.2,18.5,4.88,0.372,0.222,"1.64",,,"正常"
"安徽省","淮河流域","界首七渡口(七渡口)","2020-05-25 08:00:00","Ⅲ",18.8,7.84,5.44,913.8,11,4,0.15,0.095,"3.72",,,"正常"
"安徽省","淮河流域","许庄(徐庄)","2020-05-25 08:00:00","Ⅲ",23.5,7.43,6.44,1073.1,142.9,5.93,0.05,0.065,"0.38",,,"正常"
"安徽省","淮河流域","杨庄","2020-05-25 08:02:00","Ⅳ",24.8,7.34,5.31,1010.3,252.6,6.46,0.557,,,,,"正常"
"安徽省","淮河流域","泗县公路桥",,,,,,,,,,,,,,"停站"
"安徽省","淮河流域","颜集","2020-05-25 08:00:00","Ⅳ",24.2,7.79,7.14,1792.8,140.4,4.29,0.01,0.242,"2.44",,,"正常"
"福建省","浙闽片河流","白岩潭","2020-05-25 08:00:00","Ⅲ",24.9,6.61,5.77,166.3,21.6,2.51,0.08,,,,,"正常"
"江西省","长江流域","滁槎","2020-05-25 08:00:00","Ⅲ",27.2,6.69,5.47,175.8,14.1,1.76,0.14,0.064,"2.20",,,"正常"
"江西省","长江流域","姚港(河西水厂)",,,,,,,,,,,,,,"停站"
"江西省","长江流域","蛤蟆石",,,,,,,,,,,,,,"停站"
"山东省","黄河流域","泺口","2020-05-25 08:00:00","Ⅰ",23.2,8.33,7.92,1064.4,842.8,1.73,0.1,0.015,"3.98",,,"正常"
"山东省","淮河流域","台儿庄大桥","2020-05-25 08:00:00","Ⅱ",23.8,7.88,7.07,731.8,42,3.75,0.074,0.05,"1.27",,,"正常"
"山东省","淮河流域","清泉寺","2020-05-25 08:00:00","Ⅳ",24.2,7.62,5.73,1341.9,11.4,6.33,0.35,,,,,"正常"
"山东省","淮河流域","重坊桥","2020-05-25 08:00:00","Ⅱ",24.3,7.34,6.66,861.4,2,3.3,0.061,,,,,"正常"
"山东省","淮河流域","捷庄(涝沟桥)","2020-05-25 08:00:00","Ⅲ",24.1,7.28,5.66,950.5,37,5.99,0.231,0.095,"1.95",,,"正常"
"山东省","海河流域","秤勾湾(秤钩湾)",,,,,,,,,,,,,,"停站"
"河南省","长江流域","陶岔","2020-05-25 04:00:00","Ⅱ",23.4,8.12,9.98,299.1,4.3,2.59,0.028,0.011,"1.04",0.01,420283,"正常"
"河南省","淮河流域","黄口","2020-05-25 08:00:00","Ⅲ",24.3,8.15,5.15,5466.5,86.5,4.55,0.132,0.136,"2.07",,,"正常"
"河南省","淮河流域","蒋集","2020-05-25 08:00:00","Ⅲ",27.1,7.9,5.59,293,147.6,2.4,0.034,,,,,"正常"
"河南省","淮河流域","淮滨水文站(淮滨)","2020-05-25 08:00:00","Ⅳ",24.8,8.36,8.82,321,29.6,9.92,0.178,0.025,"0.93",,,"正常"
"河南省","淮河流域","沈丘闸","2020-05-25 08:00:00","Ⅱ",23.1,7.92,10.07,833.1,8.1,3.6,0.2,,,,,"正常"
"河南省","淮河流域","鹿邑付桥(鹿邑付桥闸)","2020-05-25 08:00:00","Ⅳ",24.5,8.5,8.44,1486.2,10.1,8.53,0.05,0.072,"0.91",,,"正常"
"河南省","淮河流域","新蔡班台(班台)","2020-05-25 08:00:00","Ⅳ",24.5,6.78,3.64,1320.2,5.2,5.4,0.48,0.251,"2.70",,,"正常"
"河南省","黄河流域","小浪底水库(小浪底)","2020-05-25 08:00:00","Ⅱ",16,8.72,7.6,1004,4.6,2.22,0.16,0.035,"4.10",,,"正常"
"湖北省","长江流域","宗关",,,,,,,,,,,,,,"停站"
"湖北省","长江流域","坝上中(胡家岭)","2020-05-25 08:08:00","Ⅰ",22.8,8.92,8.55,,3.5,1.5,0.11,0.005,"1.20",0.011,16375250,"维护"
"湖北省","长江流域","南津关",,,,,,,,,,,,,,"停站"
"湖南省","长江流域","新港",,,,,,,,,,,,,,"停站"
"湖南省","长江流域","岳阳楼",,,,,,,,,,,,,,"停站"
"湖南省","长江流域","城陵矶",,,,,,,,,,,,,,"停站"
"广东省","珠江流域","七星岗","2020-05-25 08:00:00","Ⅳ",26.4,6.76,5.14,190.7,24.6,0.59,0.147,0.203,"1.94",,,"正常"
"广东省","珠江流域","横栏","2020-05-25 08:00:00","Ⅲ",26,7.47,5.81,262,9.7,1.81,0.122,,,,,"正常"
"广西壮族自治区","珠江流域","老口","2020-05-25 08:00:00","Ⅲ",28,7.45,5.25,287.2,19.4,3.75,0.074,0.035,"2.32",,,"正常"
"广西壮族自治区","珠江流域","阳朔","2020-05-25 08:00:00","劣Ⅴ",24,7.04,5.85,157,16.2,1.06,0.023,0.763,"2.07",,,"正常"
"广西壮族自治区","珠江流域","界首",,,,,,,,,,,,,,"停站"
"广西壮族自治区","珠江流域","石嘴","2020-05-25 08:00:00","Ⅱ",28.3,6.65,7.81,285.2,32.7,0.79,0.1,0.03,"2.36",,,"正常"
"广西壮族自治区","珠江流域","平而关",,,,,,,,,,,,,,"维护"
"重庆市","长江流域","朱沱",,,,,,,,,,,,,,"停站"
"四川省","长江流域","龙洞","2020-05-25 08:00:00","Ⅱ",19.7,8.06,8.57,564.4,2.2,2.74,0.08,0.007,"0.31",,,"正常"
"四川省","长江流域","沱江大桥(沱江二桥)",,,,,,,,,,,,,,"停站"
"四川省","长江流域","清风峡","2020-05-25 04:00:00",,22.2,8.13,8.66,338,17.3,,1.86,,,,,"维护"
"四川省","长江流域","岷江大桥","2020-05-25 08:00:00","Ⅱ",24.7,7.5,6.28,493.6,28.7,3.51,0.31,,,,,"正常"
"四川省","长江流域","凉姜沟",,,,,,,,,,,,,,"停站"
"云南省","滇池流域","西苑隧道","2020-05-25 08:02:00","Ⅴ",23.9,7.22,4.96,679.3,35.7,11.1,0.26,0.188,"1.67",0.032,6003894,"正常"
"云南省","滇池流域","观音山","2020-05-25 04:00:00","Ⅴ",23.8,8.24,7.35,434.3,32.8,11.45,0.17,0.086,"1.17",0.034,7699884,"正常"
"云南省","西南诸河","河口县医院(河口)","2020-05-25 08:00:00","Ⅱ",28,7.66,7.23,178,132.6,2.21,0.166,0.015,"1.11",,,"正常"
"云南省","西南诸河","橄榄坝",,,,,,,,,,,,,,"维护"
"陕西省","黄河流域","潼关吊桥","2020-05-25 08:08:00","Ⅱ",23,8.44,7.82,1262.5,109.8,3.87,0.15,0.096,"3.98",,,"正常"
"甘肃省","黄河流域","新城桥","2020-05-25 08:00:00","Ⅱ",13.5,7.85,8.4,499.7,80.4,2.37,0.09,0.029,"2.36",,,"正常"
"宁夏回族自治区","黄河流域","中卫下河沿(新墩)","2020-05-25 08:00:00","Ⅱ",16.9,8.19,7.9,500.1,347.4,1.43,0.02,0.042,"2.23",,,"正常"
"北京市","海河流域","沿河城",,,,,,,,,,,,,,"停站"
"北京市","海河流域","古北口",,,,,,,,,,,,,,"维护"
"天津市","海河流域","三岔口","2020-05-26 08:00:00","Ⅱ",22.6,7.92,7.7,254,21.5,0.77,0.29,0.048,"0.98",,,"正常"
"天津市","海河流域","果河桥","2020-05-26 08:00:00","Ⅱ",16.7,8.28,9.24,594.2,7.6,2.28,0.06,0.045,"3.04",,,"正常"
"河北省","海河流域","岗南水库","2020-05-26 08:00:00","Ⅱ",22.9,8.27,9.22,554.8,3.6,2.15,0.09,0.02,"2.27",,,"正常"
"河北省","海河流域","八号桥","2020-05-26 08:10:00","Ⅳ",17.4,7.85,8.14,1348.5,77.1,6.22,0.25,0.039,"3.78",,,"正常"
"山西省","黄河流域","河津大桥","2020-05-26 08:00:00",,24.2,7.92,7.23,1363.6,340.9,10.12,,,,,,"维护"
"山西省","黄河流域","万家寨水库","2020-05-26 08:00:00","Ⅲ",18.9,8.16,9.52,837,10.7,5.54,0.29,0.023,"1.90",,,"正常"
"内蒙古自治区","黄河流域","画匠营子","2020-05-26 08:00:00","Ⅱ",15.1,7.79,8.12,1018.7,566.3,3.66,0.031,,,,,"正常"
"内蒙古自治区","黄河流域","海勃湾","2020-05-26 08:05:00","Ⅱ",19.1,8.4,6.78,783.4,41.6,3.04,0.08,,,,,"正常"
"内蒙古自治区","松花江流域","黑山头",,,,,,,,,,,,,,"维护"
"辽宁省","辽河流域","大伙房水库","2020-05-26 08:00:00",,16,7.32,10.29,352.9,9.7,,0.09,0.001,"2.37",0.001,,"维护"
"辽宁省","辽河流域","江桥",,,,,,,,,,,,,,"维护"
"辽宁省","辽河流域","辽河公园","2020-05-26 08:05:00","Ⅴ",18.9,6.34,6.56,6704.9,418,7.79,0.084,0.35,"6.21",,,"正常"
"辽宁省","辽河流域","汤河水库","2020-05-26 08:00:00",,14.1,8.06,6.88,488.9,62.2,0.89,0.004,,,,,"维护"
"辽宁省","辽河流域","盘锦兴安(兴安)","2020-05-26 08:00:00","Ⅱ",17.8,7.04,10.17,587,127.1,2.51,0.06,0.097,"3.21",,,"正常"
"辽宁省","辽河流域","珠尔山","2020-05-26 08:00:00","Ⅱ",17.5,8.19,7.56,409.3,46.4,3.14,0.07,0.076,"3.21",,,"正常"
"吉林省","松花江流域","松花江村","2020-05-26 08:05:00","Ⅱ",15.7,7.58,10.43,272,36,3.08,0.09,0.028,"2.34",,,"正常"
"吉林省","松花江流域","白沙滩",,,,,,,,,,,,,,"停站"
"吉林省","松花江流域","圈河","2020-05-26 08:00:00","劣Ⅴ",15.6,7.59,8.64,122,23,4.5,0.232,1.008,"0.004",,,"正常"
"黑龙江省","松花江流域","肇源",,,,,,,,,,,,,,"停站"
"黑龙江省","松花江流域","乌苏镇",,,,,,,,,,,,,,"维护"
"黑龙江省","松花江流域","同江","2020-05-26 08:00:00",,15.4,,10.13,263.7,79,4.67,0.111,0.178,"2.89",,,"维护"
"黑龙江省","松花江流域","黑河下(黑河)","2020-05-26 08:05:00",,10.5,7.96,9,212,61.6,,0.002,,,,,"维护"
"上海市","长江流域","急水港桥","2020-05-26 08:00:00","Ⅳ",24.4,7.05,6.34,688,225.8,2.14,0.156,0.068,"3.88",0.008,9289291,"正常"
"江苏省","长江流域","林山","2020-05-26 08:00:00","Ⅱ",23.4,7.81,7.12,321.4,45,1.94,0.05,,,,,"正常"
"江苏省","太湖流域","沙渚","2020-05-26 08:00:00","Ⅳ",25.5,8.03,6.87,451.8,96.1,6.96,0.31,0.086,"2.61",,,"正常"
"江苏省","淮河流域","小红圈",,,,,,,,,,,,,,"停站"
"江苏省","淮河流域","李集桥","2020-05-26 08:00:00","Ⅲ",25.5,7.87,9.3,1061.8,364.7,4.66,0.015,0.097,"1.35",,,"正常"
"江苏省","淮河流域","艾山西大桥","2020-05-26 08:00:00","Ⅲ",25.7,8.51,9.73,634.5,39.6,5.22,0.18,0.038,"1.03",,,"正常"
"江苏省","太湖流域","兰山嘴(老)","2020-05-26 08:00:00","Ⅳ",23.2,7.23,6.04,415.9,203.5,4.01,0.31,0.205,"7.64",,,"正常"
"江苏省","太湖流域","西山","2020-05-26 08:00:00","Ⅲ",25.5,7.71,6.99,439.1,103.7,3.06,0.19,0.042,"0.79",,,"正常"
"江苏省","淮河流域","大兴桥","2020-05-26 08:00:00","Ⅲ",25.6,8.07,7.8,1173.9,97.8,5.27,0.101,,,,,"正常"
"江苏省","淮河流域","淮河大桥","2020-05-26 08:00:00","劣Ⅴ",24.7,8.19,6.82,612.3,57.9,3.58,2.5,0.076,"1.26",,,"正常"
"江苏省","长江流域","三江营",,,,,,,,,,,,,,"停站"
"江苏省","淮河流域","大屈","2020-05-26 08:00:00","Ⅳ",24.3,7.92,6.48,894.1,11.1,8.2,0.13,0.014,"0.94",,,"正常"
"浙江省","浙闽片河流","街口(鸠坑口)",,,,,,,,,,,,,,"停站"
"浙江省","太湖流域","斜路港","2020-05-26 08:00:00","Ⅳ",24.3,7.36,3.85,576,180.4,4.9,0.047,0.081,"1.68",,,"正常"
"浙江省","太湖流域","王江泾",,,,,,,,,,,,,,"停站"
"浙江省","太湖流域","新港口(新塘港)","2020-05-26 08:00:00","Ⅱ",22.8,7.24,7.27,388.8,272.5,3.85,0.129,0.076,"16.41",,,"正常"
"安徽省","巢湖流域","湖滨(老)","2020-05-26 08:00:00","Ⅲ",26.1,7.49,5.56,423.5,95.4,5.65,0.21,0.036,"1.17",0.028,,"正常"
"安徽省","巢湖流域","裕溪口(老)",,,,,,,,,,,,,,"停站"
"安徽省","淮河流域","蚌埠闸上(蚌埠闸)",,,,,,,,,,,,,,"停站"
"安徽省","淮河流域","石头埠(老)","2020-05-26 08:01:00","Ⅱ",25.2,6.76,7.69,667.6,28,3.77,0.11,,,,,"正常"
"安徽省","淮河流域","小王桥",,,,,,,,,,,,,,"停站"
"安徽省","长江流域","皖河口",,,,,,,,,,,,,,"停站"
"安徽省","淮河流域","小柳巷","2020-05-26 08:00:00","Ⅱ",24.1,7.73,8.39,705.4,202.9,3.92,0.04,0.051,"2.17",,,"正常"
"安徽省","淮河流域","张大桥","2020-05-26 08:00:00","Ⅴ",24.7,8.38,7.88,2598.6,21.1,10.21,0.01,0.121,"1.08",,,"正常"
"安徽省","淮河流域","王家坝","2020-05-26 08:00:00",,25.6,8.54,12.03,727,15,4.91,0.328,,"1.51",,,"维护"
"安徽省","淮河流域","界首七渡口(七渡口)","2020-05-26 08:00:00","Ⅲ",17.2,7.71,5.25,907.1,10.4,4.14,0.18,0.098,"3.62",,,"正常"
"安徽省","淮河流域","许庄(徐庄)",,,,,,,,,,,,,,"维护"
"安徽省","淮河流域","杨庄","2020-05-26 08:02:00","Ⅳ",24.5,7.45,6.84,1012.5,341.4,6.01,0.24,,,,,"正常"
"安徽省","淮河流域","泗县公路桥",,,,,,,,,,,,,,"停站"
"安徽省","淮河流域","颜集","2020-05-26 08:00:00","Ⅳ",23.8,7.99,6.92,1817.3,216.4,4.46,0.03,0.299,"2.40",,,"正常"
"福建省","浙闽片河流","白岩潭","2020-05-26 08:00:00","Ⅱ",25.6,6.62,6.93,166.9,53.9,2.54,0.07,,,,,"正常"
"江西省","长江流域","滁槎","2020-05-26 08:00:00","Ⅲ",26.5,6.89,5.41,181.6,13.5,1.47,0.19,0.067,"2.20",,,"正常"
"江西省","长江流域","姚港(河西水厂)",,,,,,,,,,,,,,"停站"
"江西省","长江流域","蛤蟆石",,,,,,,,,,,,,,"停站"
"山东省","黄河流域","泺口","2020-05-26 08:00:00","Ⅱ",23.3,8.36,8.04,1067,755.9,2.21,0.089,0.014,"3.98",,,"正常"
"山东省","淮河流域","台儿庄大桥","2020-05-26 08:00:00","Ⅱ",23.9,7.89,7.11,730.5,54.4,3.73,0.059,0.048,"1.26",,,"正常"
"山东省","淮河流域","清泉寺","2020-05-26 08:00:00","Ⅳ",23.7,7.41,3.58,1345.2,16.8,6.18,0.34,,,,,"正常"
"山东省","淮河流域","重坊桥","2020-05-26 08:00:00","Ⅱ",24,7.42,7.23,865.9,2.3,3.05,0.049,,,,,"正常"
"山东省","淮河流域","捷庄(涝沟桥)","2020-05-26 08:00:00","Ⅳ",24.2,7.53,7.96,948,50.7,6.26,0.036,0.093,"1.55",,,"正常"
"山东省","海河流域","秤勾湾(秤钩湾)",,,,,,,,,,,,,,"停站"
"河南省","长江流域","陶岔","2020-05-26 04:00:00","Ⅱ",23,8.08,9.6,299.9,3.8,2.72,0.022,0.011,"1.00",0.008,345359,"正常"
"河南省","淮河流域","黄口","2020-05-26 08:00:00","Ⅲ",23.6,8.21,5.88,5438.9,73.3,4.58,0.179,0.122,"2.33",,,"正常"
"河南省","淮河流域","蒋集","2020-05-26 08:00:00","Ⅳ",26.3,7.68,4.87,292.5,188.3,2.32,0.041,,,,,"正常"
"河南省","淮河流域","淮滨水文站(淮滨)","2020-05-26 08:00:00",,23.6,8.17,8.44,324,24.6,,0.193,0.022,"0.98",,,"维护"
"河南省","淮河流域","沈丘闸","2020-05-26 08:00:00","Ⅱ",23,8.05,10.48,833.7,12.7,3.72,0.16,,,,,"正常"
"河南省","淮河流域","鹿邑付桥(鹿邑付桥闸)","2020-05-26 08:00:00","Ⅲ",24.1,8.42,6.24,1488.2,16.7,5.15,0.06,0.105,"1.94",,,"正常"
"河南省","淮河流域","新蔡班台(班台)","2020-05-26 08:00:00","Ⅳ",24.4,6.57,3.34,1315.6,2.4,6.08,0.53,0.293,"4.59",,,"正常"
"河南省","黄河流域","小浪底水库(小浪底)","2020-05-26 08:00:00","Ⅱ",16.3,8.71,7.41,1008.8,4.9,2.04,0.15,0.032,"4.01",,,"正常"
"湖北省","长江流域","宗关",,,,,,,,,,,,,,"停站"
"湖北省","长江流域","坝上中(胡家岭)","2020-05-26 08:08:00","劣Ⅴ",22.8,8.95,8.66,233.8,2.7,1.58,19.13,0.004,"1.13",0.012,15705240,"正常"
"湖北省","长江流域","南津关",,,,,,,,,,,,,,"停站"
"湖南省","长江流域","新港",,,,,,,,,,,,,,"停站"
"湖南省","长江流域","岳阳楼",,,,,,,,,,,,,,"停站"
"湖南省","长江流域","城陵矶",,,,,,,,,,,,,,"停站"
"广东省","珠江流域","七星岗","2020-05-26 08:00:00","Ⅲ",26.4,6.77,5.27,186.4,26.9,0.5,0.115,0.134,"1.94",,,"正常"
"广东省","珠江流域","横栏","2020-05-26 08:00:00","Ⅱ",26.6,7.58,6.86,267,23.5,1.81,0.117,,,,,"正常"
"广西壮族自治区","珠江流域","老口","2020-05-26 08:00:00","Ⅲ",27.7,7.54,5.73,289,16.2,1.81,0.076,0.035,"2.09",,,"正常"
"广西壮族自治区","珠江流域","阳朔","2020-05-26 08:00:00","Ⅲ",22.7,7.14,5.63,215,154,3.19,0.044,0.136,"3.41",,,"正常"
"广西壮族自治区","珠江流域","界首",,,,,,,,,,,,,,"停站"
"广西壮族自治区","珠江流域","石嘴","2020-05-26 08:00:00",,28.1,6.6,7.79,278.7,22.4,0.54,,0.026,"2.15",,,"维护"
"广西壮族自治区","珠江流域","平而关",,,,,,,,,,,,,,"维护"
"重庆市","长江流域","朱沱",,,,,,,,,,,,,,"停站"
"四川省","长江流域","龙洞","2020-05-26 08:00:00","Ⅰ",18.8,8.06,8.73,553.6,1.9,1.72,0.08,0.007,"0.28",,,"正常"
"四川省","长江流域","沱江大桥(沱江二桥)",,,,,,,,,,,,,,"停站"
"四川省","长江流域","清风峡","2020-05-26 04:00:00","Ⅰ",21.8,8.17,8.77,346.8,21.4,0.98,0.026,,,,,"正常"
"四川省","长江流域","岷江大桥","2020-05-26 08:00:00","Ⅱ",25,7.55,6.34,510.1,31,3.64,0.35,,,,,"正常"
"四川省","长江流域","凉姜沟",,,,,,,,,,,,,,"停站"
"云南省","滇池流域","西苑隧道","2020-05-26 08:02:00","Ⅴ",23.2,7.59,5.16,663.9,22,10.93,0.28,0.186,"2.38",0.045,6812342,"正常"
"云南省","滇池流域","观音山","2020-05-26 08:00:00","Ⅴ",23.8,7.76,7.3,436.7,60.5,6.83,0.2,0.108,"1.11",0.031,7699902,"正常"
"云南省","西南诸河","河口县医院(河口)","2020-05-26 08:00:00","Ⅱ",27.6,7.14,7.19,114,428.1,1.55,0.069,0.015,"0.99",,,"正常"
"云南省","西南诸河","橄榄坝",,,,,,,,,,,,,,"维护"
"陕西省","黄河流域","潼关吊桥","2020-05-26 08:08:00","Ⅳ",22.6,8.71,9.77,1181.2,428.9,7.46,0.11,0.192,"4.72",,,"正常"
"甘肃省","黄河流域","新城桥","2020-05-26 08:00:00","Ⅱ",13.8,7.74,8.1,478.8,40.2,2.25,0.09,0.023,"1.86",,,"正常"
"宁夏回族自治区","黄河流域","中卫下河沿(新墩)","2020-05-26 08:00:00","劣Ⅴ",16.7,8.01,8.18,495.4,132.6,1.55,2.96,0.033,"2.29",,,"正常"
"北京市","海河流域","沿河城",,,,,,,,,,,,,,"停站"
"北京市","海河流域","古北口",,,,,,,,,,,,,,"维护"
"天津市","海河流域","三岔口","2020-05-27 08:00:00","Ⅱ",23.2,7.95,7.72,252.2,19.4,1,0.32,0.042,"0.99",,,"正常"
"天津市","海河流域","果河桥","2020-05-27 08:00:00","Ⅱ",18.2,8.51,9.42,590.7,6.6,2.22,0.09,0.044,"3.02",,,"正常"
"河北省","海河流域","岗南水库","2020-05-27 08:00:00","Ⅱ",23.2,8.25,9.14,545.3,2.5,2.13,0.04,0.022,"2.29",,,"正常"
"河北省","海河流域","八号桥","2020-05-27 08:10:00","Ⅳ",18.3,7.88,8,1356.5,76.3,6.19,0.16,0.034,"3.72",,,"正常"
"山西省","黄河流域","河津大桥","2020-05-27 08:00:00",,24.1,8.03,7.74,1444.2,358.3,11.28,,,,,,"维护"
"山西省","黄河流域","万家寨水库","2020-05-27 08:00:00","Ⅲ",19.1,8.15,9.25,867.5,12.2,5.18,0.28,0.01,"1.58",,,"正常"
